time,obj,cube_scale,topk,seed,ee_index,ik_iters,ik_attempts,joint_force,descent_step,descend_clear,vel_close,pos_close,squeeze,fast,fast_scale,n_trials,success_count,success_rate
2025-10-29 11:30:58,cube.urdf,0.08,12,123,11,1000,8,1200.0,0.002,0.02,0.3,950.0,0.4,0,0.9,12,12,1.0
2025-10-29 14:10:29,cube.urdf,0.08,12,123,11,1000,8,1200.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-10-29 14:48:32,cube.urdf,0.08,12,123,11,1000,8,1200.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-10-29 15:11:32,cube.urdf,0.08,12,123,11,1000,8,1200.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-10-29 15:23:45,cube.urdf,0.08,12,123,11,1000,8,1200.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-10-29 16:22:56,cube.urdf,0.08,12,123,11,1000,8,1200.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-10-29 16:38:57,cube.urdf,0.08,12,123,11,1000,8,1200.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-10-29 17:07:52,cube.urdf,0.08,12,123,11,1000,8,1200.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-10-29 18:14:20,cube.urdf,0.08,12,1,11,1000,8,1200.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-10-29 18:25:58,cube.urdf,0.08,12,2,11,1000,8,1200.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-10-29 18:37:44,cube.urdf,0.08,12,3,11,1000,8,1200.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-10-29 19:53:04,cube.urdf,0.05,50,123,11,1000,8,1200.0,0.002,0.02,0.3,950.0,0.4,1,0.85,50,50,1.0
2025-10-29 20:19:51,cube.urdf,0.12,50,123,11,1000,8,1200.0,0.002,0.02,0.3,950.0,0.4,1,0.85,50,50,1.0
2025-10-29 23:16:27,cube.urdf,0.08,12,123,11,1000,8,1200.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-10-30 14:49:37,cube.urdf,0.08,12,1,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-10-30 15:00:45,cube.urdf,0.08,12,2,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-10-30 15:11:56,cube.urdf,0.08,12,3,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-10-30 17:35:42,cube.urdf,0.08,12,123,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-10-30 18:31:50,cube.urdf,0.08,12,123,11,1000,8,1200.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-10-30 18:43:54,cube.urdf,0.08,12,123,11,1000,8,1200.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-10-30 18:55:15,cube.urdf,0.08,12,123,11,1000,8,1200.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-10-30 20:07:34,cube.urdf,0.08,12,123,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-10-30 21:06:56,cube.urdf,0.08,12,1,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-10-30 21:17:03,cube.urdf,0.08,12,1,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-10-30 21:27:03,cube.urdf,0.08,12,1,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-10-30 21:37:10,cube.urdf,0.08,12,1,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-10-30 21:47:04,cube.urdf,0.08,12,2,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-10-30 21:56:49,cube.urdf,0.08,12,2,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
