x,y,z,roll,pitch,yaw,width,score,dz,dz_lift,need_dz,H,label,query
0.38204166489733193,0.002631316848436725,0.08237443216646505,0.04584917404784179,-0.006342101262403346,1.5707963267948968,0.022942743379522033,1.0051766559715514,0.0,0.0,0.0,0.08,0,cylinder
0.38204166489733193,0.002631316848436725,0.08237443216646505,0.036543690747550636,-0.028412301704597197,2.0940212800897497,0.022942743379522033,1.0051766559715514,0.0,0.0,0.0,0.08,0,cylinder
0.38204166489733193,0.002631316848436725,0.08237443216646505,0.017440623084584876,-0.042876006232866186,2.617765334675695,0.022942743379522033,1.0051766559715514,0.0,0.0,0.0,0.08,0,cylinder
0.38204166489733193,0.002631316848436725,0.08237443216646505,-0.006348772940757601,-0.045848251371693606,-3.1413016715181477,0.022942743379522033,1.0051766559715514,0.0,0.0,0.0,0.08,0,cylinder
0.38204166489733193,0.002631316848436725,0.08237443216646505,-0.028431273516468174,-0.03652893509252747,-2.617329086746193,0.022942743379522033,1.0051766559715514,0.0,0.0,0.0,0.08,1,cylinder
0.38204166489733193,0.002631316848436725,0.08237443216646505,-0.042882519947324095,-0.017424592920177964,-2.093876014005946,0.022942743379522033,1.0051766559715514,0.0,0.0,0.0,0.08,1,cylinder
0.38204166489733193,0.002631316848436725,0.08237443216646505,-0.04584917404784179,0.0063421012624033405,-1.5707963267948966,0.022942743379522033,1.0051766559715514,0.0,0.0,0.0,0.08,0,cylinder
0.38204166489733193,0.002631316848436725,0.08237443216646505,-0.036543690747550636,0.028412301704597197,-1.0475713735000438,0.022942743379522033,1.0051766559715514,0.0,0.0,0.0,0.08,1,cylinder
0.38204166489733193,0.002631316848436725,0.08237443216646505,-0.01744062308458488,0.04287600623286619,-0.5238273189140984,0.022942743379522033,1.0051766559715514,0.0,0.0,0.0,0.08,0,cylinder
0.38204166489733193,0.002631316848436725,0.08237443216646505,0.006348772940757596,0.045848251371693606,0.00029098207164561746,0.022942743379522033,1.0051766559715514,0.0,0.0,0.0,0.08,0,cylinder
0.38204166489733193,0.002631316848436725,0.08237443216646505,0.028431273516468153,0.03652893509252748,0.5242635668435994,0.022942743379522033,1.0051766559715514,0.0,0.0,0.0,0.08,0,cylinder
0.38204166489733193,0.002631316848436725,0.08237443216646505,0.0428825199473241,0.017424592920177968,1.047716639583847,0.022942743379522033,1.0051766559715514,0.0,0.0,0.0,0.08,1,cylinder
0.38059131057299167,-0.036826799708995314,0.07652583492090974,3.141592653589793,0.0,1.5707963267948968,0.05891604198198413,1.0161051669841819,0.0,0.0,0.0,0.08,0,cylinder_validated_best.json
0.38059131057299167,-0.036826799708995314,0.07652583492090974,3.141592653589793,0.0,2.0942595220380364,0.05891604198198413,1.0161051669841819,0.0,0.0,0.0,0.08,0,cylinder_validated_best.json
0.38059131057299167,-0.036826799708995314,0.07652583492090974,3.141592653589793,0.0,2.6175672462771686,0.05891604198198413,1.0161051669841819,0.0,0.0,0.0,0.08,0,cylinder_validated_best.json
0.38059131057299167,-0.036826799708995314,0.07652583492090974,3.141592653589793,0.0,3.1410104043551503,0.05891604198198413,1.0161051669841819,0.0,0.0,0.0,0.08,0,cylinder_validated_best.json
0.38059131057299167,-0.036826799708995314,0.07652583492090974,3.141592653589793,0.0,-2.6184406302623797,0.05891604198198413,1.0161051669841819,0.0,0.0,0.0,0.08,0,cylinder_validated_best.json
0.38059131057299167,-0.036826799708995314,0.07652583492090974,3.141592653589793,0.0,-2.0945506567394907,0.05891604198198413,1.0161051669841819,0.0,0.0,0.0,0.08,0,cylinder_validated_best.json
0.38059131057299167,-0.036826799708995314,0.07652583492090974,3.141592653589793,0.0,-1.5707963267948966,0.05891604198198413,1.0161051669841819,0.0,0.0,0.0,0.08,0,cylinder_validated_best.json
0.38059131057299167,-0.036826799708995314,0.07652583492090974,3.141592653589793,0.0,-1.047333131551757,0.05891604198198413,1.0161051669841819,0.0,0.0,0.0,0.08,0,cylinder_validated_best.json
0.38059131057299167,-0.036826799708995314,0.07652583492090974,3.141592653589793,0.0,-0.5240254073126248,0.05891604198198413,1.0161051669841819,0.0,0.0,0.0,0.08,0,cylinder_validated_best.json
0.38059131057299167,-0.036826799708995314,0.07652583492090974,3.141592653589793,0.0,-0.0005822492346429841,0.05891604198198413,1.0161051669841819,0.0,0.0,0.0,0.08,0,cylinder_validated_best.json
0.38059131057299167,-0.036826799708995314,0.07652583492090974,3.141592653589793,0.0,0.5231520233274131,0.05891604198198413,1.0161051669841819,0.0,0.0,0.0,0.08,0,cylinder_validated_best.json
0.38059131057299167,-0.036826799708995314,0.07652583492090974,3.141592653589793,0.0,1.0470419968503024,0.05891604198198413,1.0161051669841819,0.0,0.13833320857793954,0.02,0.09191427280549026,1,cylinder_validated_best.json
0.3752727090852131,0.025465439719414725,0.0760890443653966,3.141592653589793,0.0,1.5707963267948968,0.05891604198198413,1.0155810183175662,0.0,0.02759978584573688,0.027886841141795817,0.13943420570897908,0,cylinder_validated_best.json
0.3752727090852131,0.025465439719414725,0.0760890443653966,3.141592653589793,0.0,2.0922057087494643,0.05891604198198413,1.0155810183175662,0.0,0.15805668118906596,0.02,0.08730126976297564,1,cylinder_validated_best.json
0.3752727090852131,0.025465439719414725,0.0760890443653966,3.141592653589793,0.0,2.6157346814895224,0.05891604198198413,1.0155810183175662,0.0,0.1401297855014874,0.02,0.08564468433831574,1,cylinder_validated_best.json
